mapa,monster_id,amount,eh_re
ein_fild09,1619,97,True
ein_fild09,1613,41,True
ein_fild09,1078,10,True
ein_fild09,1081,10,True
ein_fild09,1085,13,True
gef_fild00,1011,160,True
gef_fild00,1002,34,True
gef_fild00,1007,34,True
gef_fild00,1079,2,True
gef_fild00,1080,6,True
gef_fild01,1012,112,True
gef_fild01,1094,28,True
gef_fild01,1089,1,True
gef_fild01,1080,5,True
gef_fild02,1104,172,True
gef_fild02,1031,24,True
gef_fild02,1128,24,True
gef_fild02,1033,24,True
gef_fild02,1080,8,True
gef_fild02,1085,6,True
gef_fild02,1079,4,True
gef_fild02,1083,1,True
gef_fild03,1273,160,True
gef_fild03,1023,73,True
gef_fild03,1686,24,True
gef_fild03,1080,21,True
gef_fild04,1020,125,True
gef_fild04,1063,25,True
gef_fild04,1007,25,True
gef_fild04,1011,25,True
gef_fild04,1080,6,True
gef_fild05,1018,143,True
gef_fild05,1174,20,True
gef_fild05,1056,20,True
gef_fild05,1048,10,True
gef_fild05,1051,10,True
gef_fild05,1078,15,True
gef_fild06,1155,158,True
gef_fild06,1139,36,True
gef_fild06,1037,36,True
gef_fild06,1083,4,True
gef_fild07,1008,134,True
gef_fild07,1002,20,True
gef_fild07,1007,20,True
gef_fild07,1011,20,True
gef_fild07,1080,6,True
gef_fild07,1083,1,True
gef_fild07,1079,1,True
gef_fild08,1156,163,True
gef_fild08,1139,37,True
gef_fild08,1118,37,True
gef_fild08,1079,8,True
gef_fild09,1012,24,True
gef_fild09,1104,98,True
gef_fild09,1085,10,True
gef_fild09,1079,3,True
gef_fild10,1023,179,True
gef_fild10,1273,55,True
gef_fild10,1686,27,True
gef_fild10,1079,6,True
gef_fild10,1080,3,True
gef_fild11,1122,58,True
gef_fild11,1123,58,True
gef_fild11,1124,58,True
gef_fild11,1125,58,True
gef_fild11,1299,1,True
gon_fild01,1409,70,True
gon_fild01,1415,51,True
gon_fild01,1037,12,True
gon_fild01,1080,5,True
gon_fild01,1083,1,True
hu_fild01,1715,105,True
hu_fild01,1718,36,True
hu_fild01,1368,10,True
hu_fild01,1721,10,True
hu_fild02,1715,126,True
hu_fild02,1718,37,True
hu_fild02,1368,37,True
hu_fild02,1721,25,True
hu_fild02,1259,3,True
hu_fild04,1718,100,True
hu_fild04,1715,30,True
hu_fild04,1368,30,True
hu_fild04,1721,20,True
hu_fild04,1081,10,True
hu_fild04,1079,6,True
hu_fild05,1718,130,True
hu_fild05,1715,35,True
hu_fild05,1721,20,True
hu_fild06,1074,87,True
hu_fild06,1073,35,True
hu_fild06,1266,35,True
hu_fild06,1080,10,True
hu_fild06,1081,10,True
lhz_fild01,1162,170,True
lhz_fild01,1215,45,True
lhz_fild01,1613,45,True
lhz_fild01,1078,10,True
lhz_fild01,1081,10,True
lhz_fild01,1080,10,True
lhz_fild02,1215,100,True
lhz_fild02,1692,40,True
lhz_fild02,1162,20,True
lhz_fild02,1613,20,True
lhz_fild02,1378,15,True
lhz_fild02,1081,15,True
lhz_fild02,1080,15,True
lhz_fild03,1692,130,True
lhz_fild03,1215,20,True
lhz_fild03,1162,20,True
lhz_fild03,1613,20,True
lhz_fild03,1378,15,True
lhz_fild03,1078,10,True
lhz_fild03,1080,10,True
lou_fild01,1516,60,True
lou_fild01,1139,28,True
lou_fild01,1368,28,True
lou_fild01,1081,10,True
xmas_fild01,1242,65,True
xmas_fild01,1243,9,True
xmas_fild01,1515,1,True
ma_fild01,2313,67,True
ma_fild01,2314,67,True
ma_fild01,2316,40,True
ma_fild02,2309,54,True
ma_fild02,2310,34,True
ma_fild02,2312,41,True
ma_fild02,2316,27,True
ma_fild02,2315,34,True
man_fild01,1988,148,True
man_fild01,1999,42,True
man_fild01,1989,14,True
man_fild01,1987,2,True
man_fild02,2024,75,True
man_fild02,1987,52,True
man_fild02,1986,37,True
man_fild03,1989,33,True
man_fild03,1986,33,True
man_fild03,1987,33,True
man_fild03,1990,1,True
mjolnir_01,1103,167,True
mjolnir_01,1174,23,True
mjolnir_01,1018,23,True
mjolnir_01,1060,23,True
mjolnir_01,1083,2,True
mjolnir_01,1080,10,True
mjolnir_01,1079,5,True
mjolnir_02,1128,33,True
mjolnir_02,1031,22,True
mjolnir_02,1033,154,True
mjolnir_02,1057,22,True
mjolnir_02,1080,23,True
mjolnir_02,1079,6,True
mjolnir_02,1078,6,True
mjolnir_03,1037,140,True
mjolnir_03,1380,37,True
mjolnir_03,1139,37,True
mjolnir_03,1083,2,True
mjolnir_03,1080,13,True
mjolnir_04,1380,162,True
mjolnir_04,1139,43,True
mjolnir_04,1037,43,True
mjolnir_04,1083,3,True
mjolnir_04,1080,17,True
mjolnir_05,1099,166,True
mjolnir_05,1139,44,True
mjolnir_05,1380,44,True
mjolnir_05,1079,9,True
mjolnir_05,1083,1,True
mjolnir_05,1078,10,True
mjolnir_06,1077,100,True
mjolnir_06,1018,30,True
mjolnir_06,1056,70,True
mjolnir_06,1079,2,True
mjolnir_06,1085,8,True
mjolnir_07,1166,161,True
mjolnir_07,1494,34,True
mjolnir_07,1118,34,True
mjolnir_07,1080,7,True
mjolnir_07,1085,2,True
mjolnir_07,1079,2,True
mjolnir_08,1494,169,True
mjolnir_08,1166,36,True
mjolnir_08,1118,36,True
mjolnir_08,1079,2,True
mjolnir_08,1080,6,True
mjolnir_09,1167,159,True
mjolnir_09,1010,34,True
mjolnir_09,1004,34,True
mjolnir_09,1085,11,True
mjolnir_10,1100,194,True
mjolnir_10,1494,41,True
mjolnir_10,1118,41,True
mjolnir_10,1083,1,True
mjolnir_10,1080,10,True
mjolnir_11,1099,170,True
mjolnir_11,1100,45,True
mjolnir_11,1118,45,True
mjolnir_11,1080,11,True
mjolnir_11,1079,2,True
mjolnir_12,1114,162,True
mjolnir_12,1035,43,True
mjolnir_12,1139,43,True
moc_fild01,1019,93,True
moc_fild01,1055,202,True
moc_fild01,1047,31,True
moc_fild01,1081,10,True
moc_fild02,1055,58,True
moc_fild02,1019,153,True
moc_fild02,1047,11,True
moc_fild02,1081,7,True
moc_fild02,1080,7,True
moc_fild03,1013,164,True
moc_fild03,1100,23,True
moc_fild03,1042,23,True
moc_fild03,1080,14,True
moc_fild07,1113,214,True
moc_fild07,1011,46,True
moc_fild07,1050,23,True
moc_fild07,1047,15,True
moc_fild07,1049,15,True
moc_fild07,1081,5,True
moc_fild11,1107,137,True
moc_fild11,1009,137,True
moc_fild11,1001,41,True
moc_fild12,1049,65,True
moc_fild12,1050,65,True
moc_fild12,1047,45,True
moc_fild12,1113,39,True
moc_fild12,1009,39,True
moc_fild12,1081,10,True
moc_fild13,1042,140,True
moc_fild13,1013,15,True
moc_fild13,1100,15,True
moc_fild13,1058,15,True
moc_fild13,1138,15,True
moc_fild13,1085,13,True
moc_fild13,1081,15,True
moc_fild16,1165,130,True
moc_fild16,1127,30,True
moc_fild16,1119,10,True
moc_fild17,1127,170,True
moc_fild17,1165,39,True
moc_fild17,1119,13,True
moc_fild17,1081,6,True
moc_fild17,1079,1,True
moc_fild18,1001,160,True
moc_fild18,1009,34,True
moc_fild18,1107,34,True
moc_fild18,1091,1,True
moc_fild18,1081,8,True
moc_fild20,1918,1,True
moc_fild20,1919,1,True
moc_fild20,1920,1,True
moc_fild20,1921,1,True
moc_fild21,1918,79,True
moc_fild21,1919,79,True
moc_fild21,1920,79,True
moc_fild21,1921,58,True
moc_fild22,1918,73,True
moc_fild22,1919,73,True
moc_fild22,1920,73,True
moc_fild22,1921,50,True
mosk_fild02,1037,56,True
mosk_fild02,1099,42,True
mosk_fild02,1139,14,True
mosk_fild02,1368,7,True
mosk_fild02,1081,5,True
mosk_fild02,1082,5,True
niflheim,1509,35,True
niflheim,1508,35,True
niflheim,1503,17,True
niflheim,1510,17,True
niflheim,1504,8,True
nif_fild01,1506,56,True
nif_fild01,1508,33,True
nif_fild01,1504,22,True
nif_fild01,1503,11,True
nif_fild01,1510,11,True
nif_fild02,1505,21,True
nif_fild02,1503,20,True
nif_fild02,1507,11,True
nif_fild02,1504,10,True
nif_fild02,1509,10,True
nif_fild02,1510,10,True
pay_fild01,1010,181,True
pay_fild01,1002,38,True
pay_fild01,1007,38,True
pay_fild01,1080,5,True
pay_fild02,1025,142,True
pay_fild02,1024,30,True
pay_fild02,1014,30,True
pay_fild02,1080,4,True
pay_fild02,1085,4,True
pay_fild03,1007,130,True
pay_fild03,1002,25,True
pay_fild03,1010,25,True
pay_fild03,1008,20,True
pay_fild03,1085,6,True
pay_fild03,1080,4,True
pay_fild04,1031,141,True
pay_fild04,1242,32,True
pay_fild04,1113,21,True
pay_fild04,1002,16,True
pay_fild04,1096,1,True
pay_fild04,1120,1,True
pay_fild04,1090,1,True
pay_fild04,1582,1,True
pay_fild04,1083,1,True
pay_fild04,1080,5,True
pay_fild06,1024,140,True
pay_fild06,1025,30,True
pay_fild06,1014,30,True
pay_fild06,1085,8,True
pay_fild06,1080,10,True
pay_fild06,1083,1,True
pay_fild07,1060,174,True
pay_fild07,1103,40,True
pay_fild07,1174,26,True
pay_fild07,1018,26,True
pay_fild07,1080,8,True
pay_fild08,1014,148,True
pay_fild08,1024,31,True
pay_fild08,1025,31,True
pay_fild08,1080,10,True
pay_fild08,1083,1,True
pay_fild09,1033,25,True
pay_fild09,1128,181,True
pay_fild09,1104,38,True
pay_fild09,1080,10,True
pay_fild09,1083,1,True
pay_fild10,1277,129,True
pay_fild10,1494,64,True
pay_fild10,1166,64,True
pay_fild10,1080,15,True
pay_fild10,1079,3,True
prt_fild00,1012,169,True
prt_fild00,1094,65,True
prt_fild00,1167,26,True
prt_fild00,1083,1,True
prt_fild00,1080,5,True
prt_fild01,1063,196,True
prt_fild01,1002,42,True
prt_fild01,1007,42,True
prt_fild01,1080,3,True
prt_fild01,1079,1,True
prt_fild02,1174,188,True
prt_fild02,1018,40,True
prt_fild02,1031,40,True
prt_fild02,1093,1,True
prt_fild02,1083,3,True
prt_fild03,1057,127,True
prt_fild03,1031,38,True
prt_fild03,1128,38,True
prt_fild03,1214,1,True
prt_fild03,1080,20,True
prt_fild03,1079,2,True
prt_fild04,1094,111,True
prt_fild04,1012,27,True
prt_fild04,1088,1,True
prt_fild04,1080,5,True
prt_fild05,1004,199,True
prt_fild05,1048,42,True
prt_fild05,1051,42,True
prt_fild05,1080,6,True
prt_fild05,1079,1,True
prt_fild06,1007,149,True
prt_fild06,1002,32,True
prt_fild06,1063,32,True
prt_fild06,1080,15,True
prt_fild07,1052,203,True
prt_fild07,1167,67,True
prt_fild07,1088,1,True
prt_fild07,1084,3,True
prt_fild08,1002,87,True
prt_fild08,1063,67,True
prt_fild08,1007,77,True
prt_fild08,1008,20,True
prt_fild08,2398,20,True
prt_fild09,1138,212,True
prt_fild09,1058,91,True
prt_fild09,1081,3,True
prt_fild10,1033,157,True
prt_fild10,1031,22,True
prt_fild10,1128,22,True
prt_fild10,1104,22,True
prt_fild10,1085,16,True
prt_fild10,1083,1,True
prt_fild11,1126,60,True
prt_fild11,1392,50,True
prt_fild11,1258,50,True
prt_fild11,1280,30,True
prt_fild11,1124,10,True
prt_fild11,1125,10,True
prt_fild11,1123,10,True
prt_fild11,1122,10,True
prt_fild11,1308,1,True
prt_fild11,1085,10,True
ra_fild01,1106,145,True
ra_fild01,1782,33,True
ra_fild01,1107,22,True
ra_fild01,1627,11,True
ra_fild03,1680,154,True
ra_fild03,1782,35,True
ra_fild03,1030,23,True
ra_fild03,1627,23,True
ra_fild04,1680,155,True
ra_fild04,1782,35,True
ra_fild04,1106,23,True
ra_fild04,1627,23,True
ra_fild05,1133,81,True
ra_fild05,1134,81,True
ra_fild05,1135,81,True
ra_fild05,1627,11,True
ra_fild06,1282,87,True
ra_fild06,1133,49,True
ra_fild06,1134,49,True
ra_fild06,1135,49,True
ra_fild06,1627,12,True
ra_fild06,1296,1,True
ra_fild08,1030,159,True
ra_fild08,1782,79,True
ra_fild08,1680,31,True
ra_fild08,1107,15,True
ra_fild08,1627,15,True
ra_fild12,1782,216,True
ra_fild12,1627,49,True
ra_fild12,1107,24,True
ra_fild12,1081,15,True
ra_fild12,1078,5,True
rockrdg1,3736,20,True
rockrdg1,3737,10,True
rockrdg1,3739,40,True
rockrdg1,1051,10,True
rockrdg1,1080,8,True
rockrdg1,1081,4,True
rockrdg1,1084,8,True
rockrdg2,3737,20,True
rockrdg2,3738,60,True
rockrdg2,3739,10,True
rockrdg2,1080,5,True
rockrdg2,1081,4,True
rockrdg2,1082,5,True
rockrdg2,1083,4,True
rockrdg2,1051,10,True
spl_fild01,2015,98,True
spl_fild01,1993,68,True
spl_fild01,1992,49,True
spl_fild02,1995,135,True
spl_fild02,1994,27,True
spl_fild03,1994,74,True
spl_fild03,1992,52,True
spl_fild03,1993,42,True
spl_fild03,1991,2,True
um_fild01,1493,97,True
um_fild01,1495,40,True
um_fild01,1498,16,True
um_fild01,1499,16,True
um_fild01,1497,16,True
um_fild01,1080,10,True
um_fild01,1081,10,True
um_fild01,1083,5,True
um_fild02,1499,68,True
um_fild02,1495,25,True
um_fild02,1498,17,True
um_fild02,1214,8,True
um_fild02,1078,5,True
um_fild02,1081,5,True
um_fild03,1500,121,True
um_fild03,1495,30,True
um_fild03,1498,20,True
um_fild03,1499,20,True
um_fild03,1079,5,True
um_fild03,1080,10,True
um_fild03,1083,2,True
um_fild04,1261,38,True
um_fild04,1495,19,True
um_fild04,1498,6,True
um_fild04,1499,6,True
um_fild04,1497,12,True
um_fild04,1214,2,True
um_fild04,1078,5,True
um_fild04,1081,5,True
ve_fild01,1783,60,True
ve_fild01,1784,34,True
ve_fild01,1781,34,True
ve_fild01,1780,34,True
ve_fild01,1078,10,True
ve_fild01,1081,10,True
ve_fild01,1079,4,True
ve_fild01,1083,1,True
ve_fild02,1781,177,True
ve_fild02,1780,27,True
ve_fild02,1783,13,True
ve_fild02,1078,10,True
ve_fild02,1081,10,True
ve_fild03,1836,141,True
ve_fild03,1780,38,True
ve_fild03,1781,38,True
ve_fild03,1078,10,True
ve_fild03,1081,10,True
ve_fild04,1780,110,True
ve_fild04,1781,55,True
ve_fild04,1783,22,True
ve_fild04,1081,10,True
ve_fild04,1079,3,True
ve_fild07,1784,128,True
ve_fild07,1781,64,True
ve_fild07,1780,38,True
ve_fild07,1082,10,True
yuno_fild01,1368,75,True
yuno_fild01,1114,52,True
yuno_fild01,1139,52,True
yuno_fild01,1078,15,True
yuno_fild01,1079,2,True
yuno_fild01,1083,3,True
yuno_fild01,1081,23,True
yuno_fild01,1080,20,True
yuno_fild02,1386,185,True
yuno_fild02,1369,50,True
yuno_fild02,1376,50,True
yuno_fild02,1078,10,True
yuno_fild02,1081,10,True
yuno_fild02,1080,10,True
yuno_fild03,1376,174,True
yuno_fild03,1372,46,True
yuno_fild03,1386,46,True
yuno_fild03,1582,1,True
yuno_fild03,1096,1,True
yuno_fild03,1078,15,True
yuno_fild03,1081,15,True
yuno_fild03,1080,15,True
yuno_fild03,1083,1,True
yuno_fild03,1079,4,True
yuno_fild04,1376,133,True
yuno_fild04,1372,36,True
yuno_fild04,1368,36,True
yuno_fild04,1388,1,True
yuno_fild04,1090,1,True
yuno_fild04,1078,10,True
yuno_fild04,1081,10,True
yuno_fild04,1080,10,True
yuno_fild06,1386,117,True
yuno_fild06,1368,29,True
yuno_fild06,1078,10,True
yuno_fild06,1081,10,True
yuno_fild06,1080,10,True
yuno_fild07,1372,90,True
yuno_fild07,1376,50,True
yuno_fild07,1369,30,True
yuno_fild07,1078,10,True
yuno_fild07,1080,10,True
yuno_fild07,1081,10,True
yuno_fild08,1369,157,True
yuno_fild08,1372,36,True
yuno_fild08,1368,36,True
yuno_fild08,1078,10,True
yuno_fild08,1080,10,True
yuno_fild08,1081,10,True
yuno_fild09,1369,182,True
yuno_fild09,1386,42,True
yuno_fild09,1368,42,True
yuno_fild09,1078,10,True
yuno_fild09,1080,10,True
yuno_fild09,1081,10,True
yuno_fild11,1372,139,True
yuno_fild11,1368,55,True
yuno_fild11,1078,10,True
yuno_fild11,1080,10,True
yuno_fild11,1081,10,True
yuno_fild12,1368,68,True
yuno_fild12,1139,34,True
nameless_n,1036,40,True
nameless_n,1866,17,True
nameless_n,1867,16,True
nameless_n,1865,12,True
nameless_n,1864,12,True
nameless_n,1869,3,True
abbey01,1867,96,True
abbey01,1036,57,True
abbey01,1865,34,True
abbey01,1864,30,True
abbey01,1866,25,True
abbey01,1869,21,True
abbey02,1864,210,True
abbey02,1865,70,True
abbey02,1869,21,True
abbey02,1870,7,True
abbey03,1870,60,True
abbey03,1867,30,True
abbey03,1869,25,True
abyss_01,1717,55,True
abyss_01,1216,30,True
abyss_01,1714,30,True
abyss_01,1191,10,True
abyss_01,1699,10,True
abyss_01,1715,9,True
abyss_01,1718,9,True
abyss_01,1721,8,True
abyss_02,1716,60,True
abyss_02,1714,50,True
abyss_02,1721,10,True
abyss_02,1191,10,True
abyss_02,1713,10,True
abyss_02,1699,10,True
abyss_02,1715,5,True
abyss_02,1718,5,True
abyss_03,1713,60,True
abyss_03,1721,10,True
abyss_03,1191,10,True
abyss_03,1716,10,True
abyss_03,1699,10,True
abyss_03,1714,10,True
abyss_03,1717,10,True
abyss_03,1720,3,True
alde_dun01,1194,58,True
alde_dun01,1111,47,True
alde_dun02,1213,50,True
alde_dun02,1211,20,True
alde_dun02,1194,20,True
alde_dun02,1189,20,True
alde_dun03,1216,85,True
alde_dun03,1209,56,True
alde_dun03,1111,55,True
alde_dun04,1102,57,True
alde_dun04,1179,11,True
alde_dun04,1131,11,True
ama_dun01,1404,91,True
ama_dun01,1403,63,True
ama_dun01,1401,2,True
ama_dun02,1402,35,True
ama_dun02,1403,20,True
ama_dun02,1129,10,True
ama_dun02,1404,5,True
ama_dun02,1401,2,True
ama_dun02,1375,1,True
ama_dun03,1401,65,True
ama_dun03,1405,65,True
ama_dun03,1403,29,True
ama_dun03,1375,23,True
ama_dun03,1191,5,True
ama_dun03,1404,1,True
anthell01,1160,50,True
anthell01,1105,40,True
anthell01,1005,20,True
anthell01,1095,15,True
anthell01,1176,10,True
anthell01,1121,1,True
anthell01,1097,87,True
anthell02,1095,50,True
anthell02,1176,30,True
anthell02,1005,20,True
anthell02,1097,15,True
anthell02,1105,15,True
anthell02,1160,15,True
anthell02,1121,3,True
ayo_dun01,1586,104,True
ayo_dun01,1036,48,True
ayo_dun01,1179,16,True
ayo_dun01,1587,8,True
ayo_dun02,1584,116,True
ayo_dun02,1179,23,True
ayo_dun02,1587,23,True
ba_2whs01,20639,30,True
ba_2whs01,20641,90,True
ba_2whs01,20682,70,True
ba_2whs02,20637,80,True
ba_2whs02,20639,80,True
ba_2whs02,20641,20,True
ba_bath,20633,30,True
ba_bath,20634,30,True
ba_bath,20643,70,True
ba_bath,20644,50,True
ba_bath,20645,50,True
ba_bath,20646,70,True
ba_lib,20630,10,True
ba_lib,20680,15,True
ba_lib,20683,80,True
ba_lib,20684,70,True
ba_pw01,20630,15,True
ba_pw01,20680,15,True
ba_pw01,20688,90,True
ba_pw01,20689,80,True
ba_pw01,20690,50,True
ba_pw02,20680,15,True
ba_pw02,20685,60,True
ba_pw02,20686,80,True
ba_pw02,20687,60,True
ba_pw02,20688,60,True
ba_pw03,20691,80,True
ba_pw03,20692,80,True
ba_pw03,20693,70,True
ba_pw03,20694,70,True
beach_dun,1148,60,True
beach_dun,1255,20,True
beach_dun,1256,20,True
beach_dun,1264,3,True
beach_dun2,1278,65,True
beach_dun2,1279,20,True
beach_dun2,1274,15,True
beach_dun2,1068,10,True
beach_dun2,1255,3,True
beach_dun3,1034,50,True
beach_dun3,1064,30,True
beach_dun3,1068,30,True
beach_dun3,1255,1,True
c_tower1,1195,107,True
c_tower1,1199,107,True
c_tower1,1102,1,True
c_tower1,1270,1,True
c_tower2,1269,55,True
c_tower2,1199,55,True
c_tower2,1195,16,True
c_tower2,1191,4,True
c_tower2,1377,2,True
c_tower2,1270,1,True
c_tower3,1193,109,True
c_tower3,1191,9,True
c_tower3,1195,8,True
c_tower3,1270,4,True
c_tower4,1269,35,True
c_tower4,1320,30,True
c_tower4,1193,30,True
c_tower4,1195,15,True
c_tower4,1191,12,True
c_tower4,1179,5,True
c_tower4,1270,3,True
c_tower4,1377,2,True
c_tower2_,2479,4,True
c_tower2_,2478,16,True
c_tower2_,2919,55,True
c_tower2_,2916,55,True
c_tower2_,2918,1,True
c_tower2_,2920,2,True
c_tower2_,2921,1,True
c_tower3_,2479,9,True
c_tower3_,2478,8,True
c_tower3_,2917,109,True
c_tower3_,2918,2,True
c_tower3_,2921,3,True
c_tower3_,2923,3,True
dew_dun01,2152,100,True
dew_dun02,2154,70,True
dew_dun02,2155,40,True
dic_dun01,2083,50,True
dic_dun01,2084,45,True
dic_dun01,2088,15,True
dic_dun01,2089,15,True
dic_dun02,2085,50,True
dic_dun02,2086,45,True
dic_dun02,2090,15,True
dic_dun02,2091,15,True
dic_dun03,2166,10,True
dic_dun03,2167,10,True
dic_dun03,2168,10,True
dic_dun03,2169,10,True
dic_dun03,2161,30,True
dic_dun03,2162,30,True
dic_dun03,2163,40,True
dic_dun03,2164,40,True
ecl_tdun01,2365,15,True
ecl_tdun01,2366,10,True
ecl_tdun01,2367,5,True
ecl_tdun01,2368,5,True
ecl_tdun02,2365,15,True
ecl_tdun02,2366,15,True
ecl_tdun02,2368,5,True
ecl_tdun02,2369,5,True
ecl_tdun03,2366,15,True
ecl_tdun03,2368,5,True
ecl_tdun03,2370,5,True
ecl_tdun03,2371,3,True
ein_dun01,1616,70,True
ein_dun01,1620,30,True
ein_dun01,1619,30,True
ein_dun01,1621,10,True
ein_dun01,1617,1,True
ein_dun01,1618,1,True
ein_dun02,1614,50,True
ein_dun02,1615,40,True
ein_dun02,1617,30,True
ein_dun02,1622,30,True
gef_dun00,1035,30,True
gef_dun00,1077,25,True
gef_dun00,1031,15,True
gef_dun00,1078,12,True
gef_dun00,1081,1,True
gef_dun00,1080,1,True
gef_dun00,1083,1,True
gef_dun00,1084,6,True
gef_dun01,1036,40,True
gef_dun01,1130,40,True
gef_dun01,1061,30,True
gef_dun01,1015,25,True
gef_dun01,1111,20,True
gef_dun01,1079,1,True
gef_dun01,1084,5,True
gef_dun01,1082,10,True
gef_dun02,1109,45,True
gef_dun02,1143,30,True
gef_dun02,1061,20,True
gef_dun02,1179,20,True
gef_dun02,1036,10,True
gef_dun02,1035,10,True
gef_dun02,1082,12,True
gef_dun02,1083,2,True
gef_dun03,1192,14,True
gef_dun03,1263,5,True
gef_dun03,1626,1,True
gef_dun03,1083,5,True
gef_dun03,1082,18,True
gefenia01,1371,63,True
gefenia01,1390,31,True
gefenia01,1292,21,True
gefenia01,1219,10,True
gefenia01,1374,10,True
gefenia01,1370,10,True
gefenia01,1268,1,True
gefenia01,1203,1,True
gefenia01,1205,1,True
gefenia01,1204,1,True
gefenia02,1390,40,True
gefenia02,1292,30,True
gefenia02,1371,30,True
gefenia02,1370,20,True
gefenia02,1219,10,True
gefenia02,1374,10,True
gefenia02,1268,1,True
gefenia02,1204,1,True
gefenia02,1203,1,True
gefenia02,1205,1,True
gefenia03,1371,42,True
gefenia03,1390,42,True
gefenia03,1292,31,True
gefenia03,1374,21,True
gefenia03,1219,10,True
gefenia03,1370,10,True
gefenia03,1268,1,True
gefenia03,1205,1,True
gefenia03,1203,1,True
gefenia03,1204,1,True
gefenia04,1371,30,True
gefenia04,1390,30,True
gefenia04,1292,20,True
gefenia04,1219,10,True
gefenia04,1374,10,True
gefenia04,1370,10,True
gefenia04,1268,1,True
gefenia04,1203,1,True
gefenia04,1205,1,True
gefenia04,1204,1,True
glast_01,1253,10,True
glast_01,1080,16,True
glast_01,1219,2,True
glast_01,1083,1,True
glast_01,1079,2,True
gl_cas01,1267,50,True
gl_cas01,1260,35,True
gl_cas01,1320,35,True
gl_cas01,1195,26,True
gl_cas01,1281,17,True
gl_cas01,1179,17,True
gl_cas01,1295,10,True
gl_cas01,1275,1,True
gl_cas02,1208,41,True
gl_cas02,1163,36,True
gl_cas02,1195,29,True
gl_cas02,1276,20,True
gl_cas02,1117,9,True
gl_cas02,1219,7,True
gl_cas02,1132,6,True
gl_cas02,1283,3,True
